Name,Region Type,Region Type Alternatve,ISO 3166-1 alpha-2,ISO 3166-1 alpha-2,ISO 3166-1 alpha-3,ISO 3166-1 numeric-3,ANSI 2-letter,ANSI 2-digit,USPS,USCG,GPO,AP
United States of America,Federal state,Federal state,US,US,USA,840,US,0,,,U.S.,U.S.
Alabama,State,State,US-AL,US-AL,US-AL,US-AL,AL,1,AL,AL,Ala.,Ala.
Alaska,State,State,US-AK,US-AK,US-AK,US-AK,AK,2,AK,AK,Alaska,Alaska
Arizona,State,State,US-AZ,US-AZ,US-AZ,US-AZ,AZ,4,AZ,AZ,Ariz.,Ariz.
Arkansas,State,State,US-AR,US-AR,US-AR,US-AR,AR,5,AR,AR,Ark.,Ark.
California,State,State,US-CA,US-CA,US-CA,US-CA,CA,6,CA,CF,Calif.,Calif.
Colorado,State,State,US-CO,US-CO,US-CO,US-CO,CO,8,CO,CL,Colo.,Colo.
Connecticut,State,State,US-CT,US-CT,US-CT,US-CT,CT,9,CT,CT,Conn.,Conn.
Delaware,State,State,US-DE,US-DE,US-DE,US-DE,DE,10,DE,DL,Del.,Del.
District of Columbia,Federal district,Federal district,US-DC,US-DC,US-DC,US-DC,DC,11,DC,DC,D.C.,D.C.
Florida,State,State,US-FL,US-FL,US-FL,US-FL,FL,12,FL,FL,Fla.,Fla.
Georgia,State,State,US-GA,US-GA,US-GA,US-GA,GA,13,GA,GA,Ga.,Ga.
Hawaii,State,State,US-HI,US-HI,US-HI,US-HI,HI,15,HI,HA,Hawaii,Hawaii
Idaho,State,State,US-ID,US-ID,US-ID,US-ID,ID,16,ID,ID,Idaho,Idaho
Illinois,State,State,US-IL,US-IL,US-IL,US-IL,IL,17,IL,IL,Ill.,Ill.
Indiana,State,State,US-IN,US-IN,US-IN,US-IN,IN,18,IN,IN,Ind.,Ind.
Iowa,State,State,US-IA,US-IA,US-IA,US-IA,IA,19,IA,IA,Iowa,Iowa
Kansas,State,State,US-KS,US-KS,US-KS,US-KS,KS,20,KS,KA,Kans.,Kan.
Kentucky,State,Commonwealth,US-KY,US-KY,US-KY,US-KY,KY,21,KY,KY,Ky.,Ky.
Louisiana,State,State,US-LA,US-LA,US-LA,US-LA,LA,22,LA,LA,La.,La.
Maine,State,State,US-ME,US-ME,US-ME,US-ME,ME,23,ME,ME,Maine,Maine
Maryland,State,State,US-MD,US-MD,US-MD,US-MD,MD,24,MD,MD,Md.,Md.
Massachusetts,State,Commonwealth,US-MA,US-MA,US-MA,US-MA,MA,25,MA,MS,Mass.,Mass.
Michigan,State,State,US-MI,US-MI,US-MI,US-MI,MI,26,MI,MC,Mich.,Mich.
Minnesota,State,State,US-MN,US-MN,US-MN,US-MN,MN,27,MN,MN,Minn.,Minn.
Mississippi,State,State,US-MS,US-MS,US-MS,US-MS,MS,28,MS,MI,Miss.,Miss.
Missouri,State,State,US-MO,US-MO,US-MO,US-MO,MO,29,MO,MO,Mo.,Mo.
Montana,State,State,US-MT,US-MT,US-MT,US-MT,MT,30,MT,MT,Mont.,Mont.
Nebraska,State,State,US-NE,US-NE,US-NE,US-NE,NE,31,NE,NB,Nebr.,Neb.
Nevada,State,State,US-NV,US-NV,US-NV,US-NV,NV,32,NV,NV,Nev.,Nev.
New Hampshire,State,State,US-NH,US-NH,US-NH,US-NH,NH,33,NH,NH,N.H.,N.H.
New Jersey,State,State,US-NJ,US-NJ,US-NJ,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.
New Mexico,State,State,US-NM,US-NM,US-NM,US-NM,NM,35,NM,NM,N.Mex.,N.M.
